==================================================
        API CONSUMPTION & COST REPORT             
==================================================

Total Estimated Cost: $0.0411
Total Tokens: 699,355

Google (Gemini) Cost: $0.0411
Other Costs: $0.0000

--------------------------------------------------
Step                      | Model                     | Cost      
--------------------------------------------------
EVENT: Initialization     | N/A                       | $0.000000
hybrid_research           | unknown                   | $0.000000
STEP_TOTAL: web_research  | unknown                   | $0.000000
STEP_TOTAL: serp_analysi  | unknown                   | $0.000000
intent_title              | unknown                   | $0.000000
STEP_TOTAL: intent_title  | google/gemini-3-flash-pr  | $0.000048
STEP_TOTAL: style_analys  | google/gemini-3-flash-pr  | $0.000048
STEP_TOTAL: content_stra  | google/gemini-3-flash-pr  | $0.000048
brand_discovery           | unknown                   | $0.000000
STEP_TOTAL: brand_discov  | google/gemini-3-flash-pr  | $0.000048
STEP_TOTAL: outline_gene  | google/gemini-3-flash-pr  | $0.004814
section_1_Introduction    | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_2_لماذا تختار من  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_3_آلية شراء تذاك  | unknown                   | $0.000000
section_3_آلية شراء تذاك  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_4_خطوات حجز تذاك  | unknown                   | $0.000000
section_4_خطوات حجز تذاك  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_5_خدمات تيك إيفن  | unknown                   | $0.000000
section_5_خدمات تيك إيفن  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_6_قصة نجاح: كيف   | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_7_الأسئلة الشائع  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_8_احجز مقعدك الآ  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
STEP_TOTAL: content_writ  | google/gemini-3-flash-pr  | $0.004517
STEP_TOTAL: image_prompt  | google/gemini-3-flash-pr  | $0.004517
STEP_TOTAL: master_frame  | google/gemini-3-flash-pr  | $0.004517
STEP_TOTAL: image_genera  | google/gemini-3-flash-pr  | $0.004517
STEP_TOTAL: assembly      | google/gemini-3-flash-pr  | $0.004517
STEP_TOTAL: image_insert  | google/gemini-3-flash-pr  | $0.004517
STEP_TOTAL: meta_schema   | google/gemini-3-flash-pr  | $0.004517
STEP_TOTAL: render_html   | google/gemini-3-flash-pr  | $0.004517
