==================================================
        API CONSUMPTION & COST REPORT             
==================================================

Total Estimated Cost: $0.0709
Total Tokens: 1,694,948

Google (Gemini) Cost: $0.0709
Other Costs: $0.0000

--------------------------------------------------
Step                      | Model                     | Cost      
--------------------------------------------------
EVENT: Initialization     | N/A                       | $0.000000
brand_discovery           | unknown                   | $0.000000
STEP_TOTAL: brand_discov  | unknown                   | $0.000000
hybrid_research           | unknown                   | $0.000000
STEP_TOTAL: web_research  | unknown                   | $0.000000
STEP_TOTAL: serp_analysi  | unknown                   | $0.000000
intent_title              | unknown                   | $0.000000
STEP_TOTAL: intent_title  | google/gemini-3-flash-pr  | $0.000093
STEP_TOTAL: style_analys  | google/gemini-3-flash-pr  | $0.000093
STEP_TOTAL: content_stra  | google/gemini-3-flash-pr  | $0.000093
STEP_TOTAL: outline_gene  | google/gemini-3-flash-pr  | $0.005058
section_1_Introduction    | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_2_خارطة طريق الب  | unknown                   | $0.000000
section_2_خارطة طريق الب  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_3_لماذا يفضل الم  | unknown                   | $0.000000
section_3_لماذا يفضل الم  | unknown                   | $0.000000
section_3_لماذا يفضل الم  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_4_كيف نتفوق على   | unknown                   | $0.000000
section_4_كيف نتفوق على   | unknown                   | $0.000000
section_4_كيف نتفوق على   | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_5_مؤشرات السوق ا  | unknown                   | $0.000000
section_5_مؤشرات السوق ا  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_6_أفضل المناطق ل  | unknown                   | $0.000000
section_6_أفضل المناطق ل  | unknown                   | $0.000000
section_6_أفضل المناطق ل  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_7_مقارنة أنظمة ا  | unknown                   | $0.000000
section_7_مقارنة أنظمة ا  | unknown                   | $0.000000
section_7_مقارنة أنظمة ا  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_8_خطوات حجز ومعا  | unknown                   | $0.000000
section_8_خطوات حجز ومعا  | unknown                   | $0.000000
section_8_خطوات حجز ومعا  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_9_أسئلة شائعة حو  | unknown                   | $0.000000
section_9_أسئلة شائعة حو  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_10_ابدأ رحلة تمل  | unknown                   | $0.000000
section_10_ابدأ رحلة تمل  | unknown                   | $0.000000
section_10_ابدأ رحلة تمل  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
STEP_TOTAL: content_writ  | google/gemini-3-flash-pr  | $0.006555
STEP_TOTAL: humanizer     | google/gemini-3-flash-pr  | $0.006555
STEP_TOTAL: image_prompt  | google/gemini-3-flash-pr  | $0.006555
STEP_TOTAL: master_frame  | google/gemini-3-flash-pr  | $0.006555
STEP_TOTAL: image_genera  | google/gemini-3-flash-pr  | $0.006555
STEP_TOTAL: assembly      | google/gemini-3-flash-pr  | $0.006555
STEP_TOTAL: final_humani  | google/gemini-3-flash-pr  | $0.006555
STEP_TOTAL: image_insert  | google/gemini-3-flash-pr  | $0.006555
STEP_TOTAL: meta_schema   | google/gemini-3-flash-pr  | $0.006555
STEP_TOTAL: render_html   | google/gemini-3-flash-pr  | $0.006555
