completion_tokens,duration_sec,estimated_cost,is_google,model,prompt_text,prompt_tokens,response_text,step_name,timestamp,total_tokens
0,0,0.0,False,N/A,N/A,0,"{'title': 'منصة حجز تذاكر المباريات', 'language': 'ar', 'primary_keyword': 'منصة حجز تذاكر المباريات في السعودية', 'output_dir': 'E:\\SEO-Writing-AI\\output\\منصة-حجز-تذاكر-المباريات-في-السعودية_20260325_094850'}",EVENT: Initialization,2026-03-25T09:48:50.452593,0
6259,84.768,0.0,False,unknown,"You are an advanced SEO SERP intelligence agent.

You MUST perform live web search in the language of the primary keyword.
If web search is not used, the answer is invalid.

Primary Keyword: منصة حجز تذاكر المباريات في السعودية in السعودية

Your task has TWO INTERNAL PHASES.
Do NOT explain them.
Return STRICT JSON only.

--------------------------------------------
PHASE 1 â€“ SERP EXTRACTION (NO ANALYSIS)
--------------------------------------------
From page 1 of Google, extract:

A. Top 3 ranking results only.
For each result extract:
- title
- url
- meta_title
- meta_description
- estimated_word_count (rough estimate)
- H1
- Top 8 H2 headings only
- Top 3 H3 headings
- has_faq (true/false)
- has_tables (true/false)
- has_lists (true/false)
- has_images (true/false)
- has_charts_or_infographics (true/false)
- CTA style (informational / soft commercial / aggressive / none)

B. Extract real SERP elements:
- 10 unique People Also Ask questions
- 10 unique related searches
- 10 unique autocomplete-style suggestions
- 10 LSI keyword variations observed across ranking pages

Rules:
- Remove duplicates
- Normalize similar phrasing
- Do NOT invent questions
- Use only live search results context
- If element not found, return empty array

-------------------------------------
PHASE 2 â€“ LIGHT COMPETITIVE ANALYSIS
-------------------------------------
Based ONLY on extracted data above:

- Identify common strengths (max 6 short bullet insights)
- Identify common weaknesses (max 6 short bullet insights)
- Identify missing subtopics (max 6)
- Identify overused patterns (max 5)
- Keep insights short (1 sentence each).
- No explanations.


Return STRICT JSON only in this format:

{
  ""top_results"": [
    {
      ""title"": """",
      ""url"": """",
      ""meta_title"": """",
      ""meta_description"": """",
      ""estimated_word_count"": 0,
      ""headings"": {
        ""h1"": """",
        ""h2"": [],
        ""h3"": []
      },
      ""has_faq"": false,
      ""has_tables"": false,
      ""has_lists"": false,
      ""has_images"": false,
      ""has_charts"": false,
      ""cta_style"": """"
    }
  ],
  ""paa_questions"": [],
  ""related_searches"": [],
  ""autocomplete_suggestions"": [],
  ""lsi_keywords"": [],
  ""content_gaps"": [],
  ""common_patterns"": [],
  ""common_strengths"": [],
  ""common_weaknesses"": []
}

Return JSON only.
- No markdown.
- No commentary.
If a field cannot be determined, return empty value.",24629,"{""top_results"":[{""title"":""المباريات الساخنه"",""url"":""https://www.ticketshappy.com/"",""meta_title"":"""",""meta_description"":"""",""estimated_word_count"":100,""headings"":{""h1"":""المباريات الساخنه"",""h2"":[""دع الأرقام تتحدث عنا"",""تذاكر"",""الأحداث""],""h3"":[]},""has_faq"":false,""has_tables"":false,""has_lists"":true,""has_images"":true,""has_charts"":false,""cta_style"":""aggressive""},{""title"":""منصة حجز تذاكر المباريات وأسعار تذاكر الدوري السعودي 2026 – 1447 (تم التحديث)"",""url"":""https://www.capsulaa.sa/saudi-arabia-services/منصة-حجز-تذاكر-المباريات-كم-اسعار-تذاكر"",""meta_title"":""منصة حجز تذاكر المباريات وأسعار تذاكر الدوري السعودي 2026 – 1447 (تم التحديث) | موقع كبسولة لخدمات السعودية"",""meta_description"":"""",""estimated_word_count"":900,""headings"":{""h1"":""منصة حجز تذاكر المباريات وأسعار تذاكر الدوري السعودي 2026 – 1447 (تم التحديث)"",""h2"":[""متوسط أسعار تذاكر الدوري السعودي 2026"",""ما هي المنصات المعتمدة لحجز التذاكر في 2026؟"",""خطوات حجز التذاكر (الطريقة الموحدة)"",""شروط دخول الملاعب (تنبيهات هامة)"",""الأسئلة الأكثر شيوعاً""],""h3"":[""روابط حجز المباريات المباشرة (تحديث 2026)"",""هل يلزمني طباعة التذكرة ورقيًا؟"",""واجهت مشكلة في الدفع أو لم تصلني التذكرة، ماذا أفعل؟""]},""has_faq"":true,""has_tables"":true,""has_lists"":true,""has_images"":true,""has_charts"":false,""cta_style"":""informational""},{""title"":""المباريات"",""url"":""https://arkantravel.com/matches/"",""meta_title"":""المباريات - Arkan Travel"",""meta_description"":"""",""estimated_word_count"":150,""headings"":{""h1"":""المباريات"",""h2"":[],""h3"":[""حجز تذاكر القطارات"",""حجز تذاكر ديزني لاند"",""حجز تذاكر الدوري الفرنسي “ليج وان”""]},""has_faq"":false,""has_tables"":false,""has_lists"":true,""has_images"":true,""has_charts"":false,""cta_style"":""aggressive""}],""paa_questions"":[],""related_searches"":[],""autocomplete_suggestions"":[],""lsi_keywords"":[""حجز تذاكر الدوري السعودي"",""منصة وي بوك"",""منصة فيكتوري أرينا"",""تطبيق Blu Store"",""منصة مكاني"",""متوسط أسعار التذاكر"",""خريطة الملعب التفاعلية"",""دفع مدى"",""بطاقة المشجع"",""الباركود الإلكتروني""],""content_gaps"":[""طرق دفع إضافية مثل PayPal"",""نصائح لاختيار أفضل المقاعد"",""سياسات إعادة البيع والاسترداد"",""خيارات الوصول لذوي الإعاقة"",""التأمين على التذاكر"",""ميزات تطبيق الهاتف المحمول""],""common_patterns"":[""تكرار عبارة \""للحجز\"""",""استخدام بنية عناوين مشابهة"",""سرد المنصات بنقاط"",""جداول الأسعار في البداية"",""التركيز على الباركود الإلكتروني""],""common_strengths"":[""عناوين واضحة ومنظمة"",""توفير جداول أسعار شفافة"",""أدلة خطوة بخطوة للحجز"",""قائمة بالمنصات الرسمية"",""استخدام أزرار حجز جذابة"",""استخدام الصور للتوضيح""],""common_weaknesses"":[""غياب أوصاف ميتا"",""عدم وجود FAQ في بعض المواقع"",""محتوى محدود في المواقع العامة"",""تكرار عناوين فرعية"",""غياب تعليمات التطبيق"",""عدم وجود مخططات أو رسوم بيانية""]}",hybrid_research,2026-03-25T09:50:15.242317,30888
0,85.174,0.0,False,unknown,N/A,0,N/A,STEP_TOTAL: web_research,2026-03-25T09:50:15.626618,0
0,0.007,0.0,False,unknown,N/A,0,N/A,STEP_TOTAL: serp_analysis,2026-03-25T09:50:15.635114,0
0,1.473,0.0,False,unknown,"You are a senior SEO intent classifier and title optimizer.

Input:
- Raw topic: منصة حجز تذاكر المباريات
- Primary keyword: منصة حجز تذاكر المباريات في السعودية
- Language: ar
- Current Year: 2026
- Top SERP titles: ['منصة حجز تذاكر المباريات في السعودية']
- SERP CTA styles: ['']
- Target Area: السعودية
- Brand Name: Not provided

Task:
1. Classify intent from SERP-first signals:
   - Title framing pattern
   - CTA style distribution
   - Service-vs-guide wording
2. If >60% of SERP signals point to one intent, that intent MUST override raw topic.
3. Generate one optimized H1 aligned to detected intent.

Allowed intents:
- commercial → evaluating services, looking for best options, ready to act, ready to buy
- informational → learning
- comparative  → comparing options, looking for best options

Title rules:
- LENGTH: Exactly **60 to 70 characters** for maximum SEO real estate.
- CORE: Must include the **primary keyword** naturally.
- SALES FOCUS (COMMERCIAL): For commercial intent, the title MUST be persuasive and sales-oriented (e.g., ""Best"", ""Top"", ""Reliable"").
- FRESHNESS (YEAR): Prefer adding the current year (2026) where relevant to indicate up-to-date content, but avoid it if it makes the title feel forced.
- BRANDING (OPTIONAL): You may include the Brand Name () if it adds trust and authority, but keep the primary focus on the keyword.
- AREA: If an area is provided, it MUST be integrated into the title.
- No clickbait, no keyword stuffing.
- **TOPIC BOUNDARY**: Do NOT add secondary concepts or industry buzzwords unless they are specifically mentioned in the **Raw topic** or **Primary keyword**.
- Focus 100% on the **Primary keyword** service.
- No markdown
- No extra text

Return STRICT JSON only:
{
  ""intent"": ""commercial | informational | comparative"",
  ""confidence"": 0.0,
  ""optimized_title"": """"
}",0,"{
  ""optimized_title"": ""أفضل منصة حجز تذاكر المباريات في السعودية 2026: احجز تذكرتك الآن"",
  ""intent"": ""commercial"",
  ""metadata"": {
    ""duration"": 1.4733788967132568,
    ""model"": ""google/gemini-3-flash-preview"",
    ""prompt"": ""You are a senior SEO intent classifier and title optimizer.\n\nInput:\n- Raw topic: منصة حجز تذاكر المباريات\n- Primary keyword: منصة حجز تذاكر المباريات في السعودية\n- Language: ar\n- Current Year: 2026\n- Top SERP titles: ['منصة حجز تذاكر المباريات في السعودية']\n- SERP CTA styles: ['']\n- Target Area: السعودية\n- Brand Name: Not provided\n\nTask:\n1. Classify intent from SERP-first signals:\n   - Title framing pattern\n   - CTA style distribution\n   - Service-vs-guide wording\n2. If >60% of SERP signals point to one intent, that intent MUST override raw topic.\n3. Generate one optimized H1 aligned to detected intent.\n\nAllowed intents:\n- commercial → evaluating services, looking for best options, ready to act, ready to buy\n- informational → learning\n- comparative  → comparing options, looking for best options\n\nTitle rules:\n- LENGTH: Exactly **60 to 70 characters** for maximum SEO real estate.\n- CORE: Must include the **primary keyword** naturally.\n- SALES FOCUS (COMMERCIAL): For commercial intent, the title MUST be persuasive and sales-oriented (e.g., \""Best\"", \""Top\"", \""Reliable\"").\n- FRESHNESS (YEAR): Prefer adding the current year (2026) where relevant to indicate up-to-date content, but avoid it if it makes the title feel forced.\n- BRANDING (OPTIONAL): You may include the Brand Name () if it adds trust and authority, but keep the primary focus on the keyword.\n- AREA: If an area is provided, it MUST be integrated into the title.\n- No clickbait, no keyword stuffing.\n- **TOPIC BOUNDARY**: Do NOT add secondary concepts or industry buzzwords unless they are specifically mentioned in the **Raw topic** or **Primary keyword**.\n- Focus 100% on the **Primary keyword** service.\n- No markdown\n- No extra text\n\nReturn STRICT JSON only:\n{\n  \""intent\"": \""commercial | informational | comparative\"",\n  \""confidence\"": 0.0,\n  \""optimized_title\"": \""\""\n}"",
    ""response"": ""{\n  \""intent\"": \""commercial\"",\n  \""confidence\"": 0.95,\n  \""optimized_title\"": \""أفضل منصة حجز تذاكر المباريات في السعودية 2026: احجز تذكرتك الآن\""\n}"",
    ""tokens"": {
      ""prompt_tokens"": 802,
      ""completion_tokens"": 56,
      ""total_tokens"": 858
    }
  },
  ""prompt"": ""You are a senior SEO intent classifier and title optimizer.\n\nInput:\n- Raw topic: منصة حجز تذاكر المباريات\n- Primary keyword: منصة حجز تذاكر المباريات في السعودية\n- Language: ar\n- Current Year: 2026\n- Top SERP titles: ['منصة حجز تذاكر المباريات في السعودية']\n- SERP CTA styles: ['']\n- Target Area: السعودية\n- Brand Name: Not provided\n\nTask:\n1. Classify intent from SERP-first signals:\n   - Title framing pattern\n   - CTA style distribution\n   - Service-vs-guide wording\n2. If >60% of SERP signals point to one intent, that intent MUST override raw topic.\n3. Generate one optimized H1 aligned to detected intent.\n\nAllowed intents:\n- commercial → evaluating services, looking for best options, ready to act, ready to buy\n- informational → learning\n- comparative  → comparing options, looking for best options\n\nTitle rules:\n- LENGTH: Exactly **60 to 70 characters** for maximum SEO real estate.\n- CORE: Must include the **primary keyword** naturally.\n- SALES FOCUS (COMMERCIAL): For commercial intent, the title MUST be persuasive and sales-oriented (e.g., \""Best\"", \""Top\"", \""Reliable\"").\n- FRESHNESS (YEAR): Prefer adding the current year (2026) where relevant to indicate up-to-date content, but avoid it if it makes the title feel forced.\n- BRANDING (OPTIONAL): You may include the Brand Name () if it adds trust and authority, but keep the primary focus on the keyword.\n- AREA: If an area is provided, it MUST be integrated into the title.\n- No clickbait, no keyword stuffing.\n- **TOPIC BOUNDARY**: Do NOT add secondary concepts or industry buzzwords unless they are specifically mentioned in the **Raw topic** or **Primary keyword**.\n- Focus 100% on the **Primary keyword** service.\n- No markdown\n- No extra text\n\nReturn STRICT JSON only:\n{\n  \""intent\"": \""commercial | informational | comparative\"",\n  \""confidence\"": 0.0,\n  \""optimized_title\"": \""\""\n}""
}",intent_title,2026-03-25T09:50:17.159080,0
1,2.561,4.8e-05,True,google/gemini-3-flash-preview,"You are an SEO Intent Classifier.

GOLD RULE (CRITICAL):
If the query/title contains any of these terms (or their synonyms), classify as Commercial or Transactional:
- Arabic: (سعر – شركة – خدمة – أفضل – تواصل – عرض سعر – ارخص – احسن - مكتب - نوفر)
- English: (Price – Company – Service – Best – Contact – Quote – Cheapest – Agency - Provider)

Classify the search intent of the following query.

Input:
Title: ""منصة حجز تذاكر المباريات""
Primary Keyword: ""منصة حجز تذاكر المباريات في السعودية""

Output:
Return only one of:
- Informational
- Commercial
- Transactional
- Comparative

No explanation.",479,Transactional,STEP_TOTAL: intent_title,2026-03-25T09:50:18.198044,480
1,0.0,4.8e-05,True,google/gemini-3-flash-preview,"You are an SEO Intent Classifier.

GOLD RULE (CRITICAL):
If the query/title contains any of these terms (or their synonyms), classify as Commercial or Transactional:
- Arabic: (سعر – شركة – خدمة – أفضل – تواصل – عرض سعر – ارخص – احسن - مكتب - نوفر)
- English: (Price – Company – Service – Best – Contact – Quote – Cheapest – Agency - Provider)

Classify the search intent of the following query.

Input:
Title: ""منصة حجز تذاكر المباريات""
Primary Keyword: ""منصة حجز تذاكر المباريات في السعودية""

Output:
Return only one of:
- Informational
- Commercial
- Transactional
- Comparative

No explanation.",479,Transactional,STEP_TOTAL: style_analysis,2026-03-25T09:50:18.200050,480
1,0.001,4.8e-05,True,google/gemini-3-flash-preview,"You are an SEO Intent Classifier.

GOLD RULE (CRITICAL):
If the query/title contains any of these terms (or their synonyms), classify as Commercial or Transactional:
- Arabic: (سعر – شركة – خدمة – أفضل – تواصل – عرض سعر – ارخص – احسن - مكتب - نوفر)
- English: (Price – Company – Service – Best – Contact – Quote – Cheapest – Agency - Provider)

Classify the search intent of the following query.

Input:
Title: ""منصة حجز تذاكر المباريات""
Primary Keyword: ""منصة حجز تذاكر المباريات في السعودية""

Output:
Return only one of:
- Informational
- Commercial
- Transactional
- Comparative

No explanation.",479,Transactional,STEP_TOTAL: content_strategy,2026-03-25T09:50:18.204414,480
1046,8.246,0.0,False,unknown,"You are a Brand Intelligence Analyst.
Below image represents text scraped from multiple pages of a company's website.
Article Topic: ""منصة حجز تذاكر المباريات في السعودية""

Website Content:
""""""
[Page: https://tikevent.com/]
استكشف، احجز، واستمتع بأفضل التجارب في عالم الفعاليات بكل سهولة.
لا تفوّت أجواء الملاعب والحماس لحظة بلحظة، احجز تذكرتك الآن وكن جزء من الحدث ⚽
عيش أجمل الليالي مع نجومك المفضلين ، لا تفوّت المتعة! ا
احجز تذكرتك الآن✨
أقوى بطولات الأندية في القارة الآسيوية، تجمع نخبة الفرق للتنافس على المجد القاري واللقب الأغلى في آسيا، في أجواء مليئة بالحماس والإثارة الكروية ⚽
حيث لا مجال للتعويض… كل مباراة تُكتب فيها النهاية أو بداية المجد. هنا تبدأ مواجهات الحسم، ويقترب الأبطال خطوة بخطوة نحو اللقب الآسيوي
احجز واستمتع بأجواء اليوم كامل بكل فعالياته!
احجز الآن ولا تفوّت التجربة ✨
نعد مستخدمينا بتقديم 4 خدمات أساسية بمعايير عالية
لأول مرة في مواقع التذاكر!عشان تسهّلها على نفسك بدون ضغط على الميزانية.تذكرتك الآن تقدر تدفعها حتى 12 دفعة بكل راحة.
احجز تذكرتك أونلاين في أي وقت ومن أي مكان، بدون ما تضيع وقتك في الزحمة والطوابير، وبخطوات بسيطة وسريعة.
فريقنا جاهز لمساعدتك في أي وقت! تواصل معنا عبر قنوات الدعم المتعددة، ونعدك بتقديم حلول سريعة وفعالة لكل استفساراتك.
تغيّرت خططك؟ ولا يهمك! مع خيار استرجاع التذاكر، تقدر تسترجع قيمة التذكرة حسب الشروط بكل سهولة وبدون أي تعقيدات.
نستمد قوتنا من شراكاتنا مع نخبة من المستشارين والمرشدين العالميين، الذين يشاركونا رؤيتنا في تطوير سوق التذاكر الثانوية. بدعمهم، نعمل على تقديم تجربة آمنة، موثوقة، ومبتكرة لكل المستخدمين.

[Page: https://tikevent.com/contact-us]
في تيك إيفنت، نحرص على تقديم أفضل الخدمات والتواصل الفعّال مع عملائنا وشركائنا. سواء كنت ترغب في الاستفسار عن فعالياتنا، أو تبحث عن فرص تعاون، أو لديك أي أسئلة، فإن فريقنا المتخصص جاهز دائمًا لمساعدتك.
لا تتردد في التواصل معنا من خلال القنوات التالية، وسنكون سعداء بخدمتك.
نستمد قوتنا من شراكاتنا مع نخبة من المستشارين والمرشدين العالميين، الذين يشاركونا رؤيتنا في تطوير سوق التذاكر الثانوية. بدعمهم، نعمل على تقديم تجربة آمنة، موثوقة، ومبتكرة لكل المستخدمين.

[Page: https://tikevent.com/events/1-%d8%aa%d8%b0%d8%a7%d9%83%d8%b1-%d8%a7%d9%84%d8%af%d8%ae%d9%88%d9%84]
نستمد قوتنا من شراكاتنا مع نخبة من المستشارين والمرشدين العالميين، الذين يشاركونا رؤيتنا في تطوير سوق التذاكر الثانوية. بدعمهم، نعمل على تقديم تجربة آمنة، موثوقة، ومبتكرة لكل المستخدمين.
من الحفلات الموسيقية والعروض الحصرية إلى المباريات المشوّقة، اكتشف الفعاليات القادمة واستعد لتجربة استثنائية! احجز تذكرتك الآن ولا تفوّت لحظات لا تُنسى.

[Page: https://tikevent.com/about-us]
## مرحبًا بك في تيك إيفنت – وجهتك الأولى للفعاليات!
انطلق في عالم من الترفيه والإثارة مع تيك إيفنت، المنصة الأفضل لحجز تذاكر الفعاليات بكل سهولة وأمان! 🎟️نحن هنا لنغير مفهوم السوق الثانوية للتذاكر، ونوفر لك تجربة حجز استثنائية تلبي جميع تطلعاتك.مع آلاف الفعاليات التي قمنا بتغطيتها، نسعى دائمًا لتقديم الأفضل لأكثر من 30,000 مشتري وبائع حول العالم.اختر فعالتك المفضلة، احجز تذكرتك بكل ثقة، واستعد لخوض تجربة لا تُنسى! 🚀✨
نتطلع في تيك إيفنت إلى أن نكون الرواد في مجال الفعاليات والترفيه، من خلال الابتكار والتطوير المستمر. نسعى لإعادة تعريف تجربة حجز التذاكر، وجعلها أكثر سهولة وموثوقية للجميع. رؤيتنا هي أن نصبح المنصة الأولى التي تجمع بين أحدث التقنيات وأفضل التجارب لضمان رضا العملاء وتحقيق شغفهم بالفعاليات الاستثنائية.
في تيك إيفنت، نؤمن بأن الفعاليات ليست مجرد تذاكر، بل تجارب لا تُنسى. نحن ملتزمون بتوفير منصة آمنة وسهلة الاستخدام تتيح للمستخدمين شراء وبيع التذاكر بكل ثقة وراحة. من خلال دعم مجتمع الفعاليات والتركيز على الشفافية والابتكار، نهدف إلى تعزيز تجربة الترفيه وجعلها في متناول الجميع. نسعى دائمًا لتقديم خدمات استثنائية تُلبي احتياجات عملائنا وتضمن لهم لحظات لا تُنسى.
نعد مستخدمينا بتقديم 4 خدمات أساسية بمعايير عالية
لأول مرة في مواقع التذاكر!عشان تسهّلها على نفسك بدون ضغط على الميزانية.تذكرتك الآن تقدر تدفعها حتى 12 دفعة بكل راحة.
احجز تذكرتك أونلاين في أي وقت ومن أي مكان، بدون ما تضيع وقتك في الزحمة والطوابير، وبخطوات بسيطة وسريعة.
فريقنا جاهز لمساعدتك في أي وقت! تواصل معنا عبر قنوات الدعم المتعددة، ونعدك بتقديم حلول سريعة وفعالة لكل استفساراتك.
تغيّرت خططك؟ ولا يهمك! مع خيار استرجاع التذاكر، تقدر تسترجع قيمة التذكرة حسب الشروط بكل سهولة وبدون أي تعقيدات.

[Page: https://tikevent.com/events/4-%d8%a7%d9%84%d8%ad%d9%81%d9%84%d8%a7%d8%aa]
نستمد قوتنا من شراكاتنا مع نخبة من المستشارين والمرشدين العالميين، الذين يشاركونا رؤيتنا في تطوير سوق التذاكر الثانوية. بدعمهم، نعمل على تقديم تجربة آمنة، موثوقة، ومبتكرة لكل المستخدمين.
من الحفلات الموسيقية والعروض الحصرية إلى المباريات المشوّقة، اكتشف الفعاليات القادمة واستعد لتجربة استثنائية! احجز تذكرتك الآن ولا تفوّت لحظات لا تُنسى.

[Page: https://tikevent.com/events/6-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d8%a8%d8%b7%d8%a7%d9%84-%d8%a7%d8%b3%d9%8a%d8%a7-%d9%84%d9%84%d9%86%d8%ae%d8%a8%d8%a9]
نستمد قوتنا من شراكاتنا مع نخبة من المستشارين والمرشدين العالميين، الذين يشاركونا رؤيتنا في تطوير سوق التذاكر الثانوية. بدعمهم، نعمل على تقديم تجربة آمنة، موثوقة، ومبتكرة لكل المستخدمين.
من الحفلات الموسيقية والعروض الحصرية إلى المباريات المشوّقة، اكتشف الفعاليات القادمة واستعد لتجربة استثنائية! احجز تذكرتك الآن ولا تفوّت لحظات لا تُنسى.

[Page: https://tikevent.com/events/2-%d8%af%d9%88%d8%b1%d9%8a-%d8%b1%d9%88%d8%b4%d9%86-%d8%a7%d9%84%d8%b3%d8%b9%d9%88%d8%af%d9%8a]
نستمد قوتنا من شراكاتنا مع نخبة من المستشارين والمرشدين العالميين، الذين يشاركونا رؤيتنا في تطوير سوق التذاكر الثانوية. بدعمهم، نعمل على تقديم تجربة آمنة، موثوقة، ومبتكرة لكل المستخدمين.
من الحفلات الموسيقية والعروض الحصرية إلى المباريات المشوّقة، اكتشف الفعاليات القادمة واستعد لتجربة استثنائية! احجز تذكرتك الآن ولا تفوّت لحظات لا تُنسى.

[Page: https://tikevent.com/events]
نستمد قوتنا من شراكاتنا مع نخبة من المستشارين والمرشدين العالميين، الذين يشاركونا رؤيتنا في تطوير سوق التذاكر الثانوية. بدعمهم، نعمل على تقديم تجربة آمنة، موثوقة، ومبتكرة لكل المستخدمين.
من الحفلات الموسيقية والعروض الحصرية إلى المباريات المشوّقة، اكتشف الفعاليات القادمة واستعد لتجربة استثنائية! احجز تذكرتك الآن ولا تفوّت لحظات لا تُنسى.
""""""

Extract a detailed FACT SHEET related to ""منصة حجز تذاكر المباريات في السعودية"". Include services, processes, technologies, USPs, and target audience. 
Write the detailed fact sheet now:",2660,"بصفتي محلل استخبارات العلامة التجارية (Brand Intelligence Analyst)، قمت باستخلاص وتحليل البيانات الواردة من منصة ""تيك إيفنت"" (Tikevent) لإعداد ورقة حقائق تفصيلية حول خدماتها كمنصة رائدة لحجز تذاكر المباريات والفعاليات في المملكة العربية السعودية:

### **ورقة الحقائق: منصة تيك إيفنت (Tikevent) لحجز التذاكر**

#### **1. الهوية والتعريف (Brand Identity)**
*   **اسم المنصة:** تيك إيفنت (Tikevent).
*   **المكانة السوقية:** الوجهة الأولى والمنصة الأفضل لحجز تذاكر الفعاليات والمباريات في السعودية بنظام ""السوق الثانوية المبتكرة"".
*   **الرؤية:** الريادة في مجال الترفيه من خلال إعادة تعريف تجربة حجز التذاكر ودمج أحدث التقنيات لضمان رضا العملاء.
*   **الرسالة:** توفير منصة آمنة وسهلة تتيح شراء وبيع التذاكر بكل ثقة وشفافية، وتحويل الفعاليات إلى تجارب لا تُنسى.

#### **2. الخدمات الأساسية (Core Services)**
*   **حجز تذاكر المباريات الرياضية:** تغطية أقوى البطولات مثل (دوري روشن السعودي، دوري أبطال آسيا للنخبة).
*   **الفعاليات الترفيهية:** حجز تذاكر الحفلات الموسيقية، العروض الحصرية، والفعاليات الموسمية.
*   **تسهيلات الدفع (خدمة فريدة):** توفير خيارات تقسيط قيمة التذكرة حتى 12 دفعة لتخفيف العبء عن الميزانية.
*   **إعادة البيع (Secondary Market):** تمكين المستخدمين من بيع وشراء التذاكر في سوق ثانوية موثوقة.
*   **سياسة الاسترجاع:** إتاحة خيار استرجاع قيمة التذاكر وفق شروط ميسرة في حال تغير الخطط.

#### **3. المزايا التنافسية (Unique Selling Propositions - USPs)**
*   **المرونة المالية:** أول موقع تذاكر يتيح الدفع بالتقسيط المريح.
*   **السرعة والسهولة:** إجراءات حجز أونلاين بسيطة وسريعة تغني عن الزحام وطوابير الانتظار.
*   **الموثوقية العالمية:** استمداد القوة من شراكات مع مستشارين ومرشدين عالميين لتطوير سوق التذاكر الثانوية.
*   **الدعم الفني المتكامل:** فريق متخصص متاح عبر قنوات متعددة لتقديم حلول سريعة وفعالة.
*   **الأمان والشفافية:** بيئة تقنية آمنة تضمن حقوق البائع والمشتري.

#### **4. النطاق التشغيلي والجمهور المستهدف (Target Audience & Reach)**
*   **قاعدة المستخدمين:** تخدم المنصة أكثر من 30,000 مشتري وبائع حول العالم.
*   **الجمهور المستهدف:**
    *   عشاق كرة القدم والمشجعين الراغبين في حضور البطولات المحلية والقارية.
    *   محبي الحفلات الموسيقية والفعاليات الترفيهية في المملكة.
    *   الأفراد الذين يبحثون عن حلول دفع مرنة (التقسيط) لحضور الفعاليات الكبرى.
*   **الانتشار:** حجز متاح في أي وقت ومن أي مكان (Online Platform).

#### **5. العمليات والتقنيات (Processes & Tech)**
*   **نظام الحجز:** منصة رقمية متكاملة تتيح الحجز بخطوات بسيطة (Explore, Book, Enjoy).
*   **إدارة الفعاليات:** نظام متطور لتغطية آلاف الفعاليات وتحديثها لحظياً.
*   **قنوات التواصل:** نظام دعم فني عبر قنوات متعددة لضمان التواصل الفعّال مع الشركاء والعملاء.
*   **تطوير السوق الثانوية:** الاعتماد على نماذج عمل مبتكرة بإشراف خبراء دوليين لضمان عدالة وموثوقية سوق إعادة بيع التذاكر.

#### **6. البطولات والفعاليات الكبرى المغطاة:**
*   **دوري أبطال آسيا للنخبة:** (نخبة الأندية الآسيوية، مواجهات الحسم).
*   **دوري روشن السعودي:** (أقوى المنافسات المحلية).
*   **الحفلات الموسيقية:** (أجمل الليالي مع النجوم المفضلين).",brand_discovery,2026-03-25T09:50:37.056821,3706
1,20.54,4.8e-05,True,google/gemini-3-flash-preview,"You are an SEO Intent Classifier.

GOLD RULE (CRITICAL):
If the query/title contains any of these terms (or their synonyms), classify as Commercial or Transactional:
- Arabic: (سعر – شركة – خدمة – أفضل – تواصل – عرض سعر – ارخص – احسن - مكتب - نوفر)
- English: (Price – Company – Service – Best – Contact – Quote – Cheapest – Agency - Provider)

Classify the search intent of the following query.

Input:
Title: ""منصة حجز تذاكر المباريات""
Primary Keyword: ""منصة حجز تذاكر المباريات في السعودية""

Output:
Return only one of:
- Informational
- Commercial
- Transactional
- Comparative

No explanation.",479,Transactional,STEP_TOTAL: brand_discovery,2026-03-25T09:50:38.745133,480
